tag,ct,beta,theta,p,sigma,rho,epsilonA,epsilonI,lambda0,gammaA,gammaI,gammaD,cD,dD,dI,delta,S0,R0,Q0,E0,A0,I0,D0,day
CASES,Guinea,9.999999534928463e-06,0.1599999998714325,0.029128538082787987,0.14285714285714285,0.12,0.005761442475382328,0.10000172179295956,0.012345679012345678,0.1233670634916678,0.1,0.10000002624471116,1.4,0.000601936823770834,0.0008427115532791675,0.003031150130387794,156464.81863757785,0,2306.4,3.0,1.2,1.8,1,81
CASES,Guinea_Bissau,9.99996723001136e-06,0.15989877299614574,0.02816362286704137,0.14285714285714285,0.12,0.04021427928083668,0.1000014745305172,0.014492753623188406,0.10001245325809632,0.1,0.14193790275381846,1.4,0.0008531203771829809,0.0011943685280561733,0.0012225954570931339,93676.26209227204,0,803.4,6.0,2.4,3.6,2,69
CASES,Haiti,8.710025726335155e-06,0.1599999958668969,0.0010000042637905492,0.14285714285714285,0.12,0.00011595834929946091,0.10000845660451284,0.013157894736842105,0.10001532486687224,0.1,0.1497622407078043,1.4,0.002923378427805859,0.004092729798928202,3.524064928761562e-10,200193.31879774426,0,1504.2,6.0,2.4,3.6,2,76
CASES,Honduras,9.544643379903882e-06,0.12573957512098996,0.012347503664066093,0.14285714285714285,0.12,0.19029871696120185,0.23269840820353865,0.012195121951219513,0.10040641888125733,0.1,0.10004864363179657,1.4,0.004245745910440254,0.005944044274616357,1.961358853108664e-11,344794.11831195647,0,3316.2,6.0,2.4,3.6,2,82
CASES,Iceland,9.97787302297081e-06,0.13921933721428348,0.002516860966622141,0.14285714285714285,0.12,0.19999816433536285,0.28950732550165714,0.010416666666666666,0.1000048049132339,0.1,0.11658068538948008,1.4,0.0006491129476028958,0.0009087581266440539,0.3004920312823227,10391.435633422796,0,1083.6,3.0,1.2,1.8,1,96
CASES,Indonesia,3.013794207630888e-06,0.11768839614497525,0.0010000000000873893,0.14285714285714285,0.12,0.19999999624115106,0.2499154315333388,0.011494252873563218,0.10000012481769774,0.1,0.1000441266066151,1.4,0.006427156862659388,0.008998019607723142,0.005716471220713726,505249.67722478573,0,16529.399999999998,6.0,2.4,3.6,2,87
CASES,Iran,2.884612046706852e-06,0.13003329159871654,0.061920184688883925,0.14285714285714285,0.12,0.1814395117834655,0.2802819118689052,0.009523809523809523,0.10000190959868696,0.1,0.10151201842581603,1.4,0.005388373548575264,0.007543722968005367,0.001467634563119158,1285833.6138901887,0,94537.2,6.0,2.4,3.6,2,105
CASES,Iraq,9.999808040118573e-06,0.1599977713602729,0.0010000000062860002,0.14285714285714285,0.12,0.1805850077845593,0.100002408152858,0.010204081632653059,0.10000023110872464,0.1,0.1000731908717693,1.4,0.003288199084852599,0.0046034787187936395,0.0021483285265799235,118176.39191058885,0,4432.2,3.0,1.2,1.8,1,98
CASES,Ireland,9.999985842896646e-06,0.15977634622529366,0.0010254518526322906,0.14285714285714285,0.12,0.004994093306107317,0.14590632472055473,0.010752688172043013,0.1128153321141128,0.1,0.14977749242028324,1.4,0.010608812475770234,0.014852337466078329,0.01896977742910122,233632.06066625344,0,15039.6,3.0,1.2,1.8,1,93
CASES,Italy,3.1791620436861526e-06,0.15878049624770854,0.028396159553418863,0.14285714285714285,0.12,0.032157244430873304,0.10077493179066466,0.008,0.10000000493929136,0.1,0.1037726489835548,1.4,0.017398789511306315,0.02435830531582884,1.1118883591620945e-13,1761243.6214755212,0,140109.0,9.0,3.6,5.4,3,125
CASES,Japan,9.999990344860547e-06,0.1598684844456126,0.001000054738886898,0.14285714285714285,0.12,0.007875503404872142,0.10078146370778704,0.007092198581560284,0.10004895497568594,0.1,0.10082539628047106,1.4,0.005641107587493719,0.007897550622491206,0.00022934584774059186,161153.82129312947,0,10191.6,3.0,1.2,1.8,1,141
CASES,Kazakhstan,9.998990460331683e-06,0.15996771269692378,0.0010000000002110493,0.14285714285714285,0.12,0.16268458292917864,0.1000001155230628,0.012345679012345678,0.10000000003140012,0.1,0.1009250597420028,1.4,0.00037786782068142645,0.0005290149489539968,0.005234382163770146,118049.00653405984,0,7077.5999999999985,18.0,7.1999999999999975,10.8,6,81
CASES,Kenya,9.999996999868448e-06,0.10000036569777096,0.0010000000012473926,0.14285714285714285,0.12,0.19999997110131265,0.10902988149803194,0.012195121951219513,0.10002038913161132,0.1,0.10200698372035348,1.4,0.003581847598489168,0.005014586637884835,0.0007764768552513956,173892.41153543713,0,1255.8,3.0,1.2,1.8,1,82
CASES,Kuwait,4.819101047457985e-06,0.1273977270490146,0.01992153864729448,0.14285714285714285,0.12,0.021413789141688302,0.10110134326530903,0.010204081632653059,0.10000000042364388,0.1,0.14984994958430475,1.4,0.0011915029590842936,0.001668104142718011,5.545564008002657e-14,651534.6619502967,0,17189.399999999998,9.0,3.6,5.4,3,98
CASES,Kyrgyzstan,9.982096591667958e-06,0.15999229647724228,0.18869833665392802,0.14285714285714285,0.12,0.19999997228065947,0.3868170259193482,0.012987012987012988,0.10000605994052636,0.1,0.1483074802981792,1.4,0.0016024579178625525,0.002243441085007573,0.00040825402684796513,100327.3975712945,0,1122.6,9.0,3.6,5.4,3,77
CASES,Lebanon,9.999974815366993e-06,0.15995212777293585,0.2866976995279682,0.14285714285714285,0.12,0.1999998484722469,0.3999980418917639,0.010101010101010102,0.14998420989539002,0.1,0.10632272567332827,1.4,0.002362727237185073,0.0033078181320591016,0.0003888172361781739,63231.24897518432,0,745.1999999999997,3.0,1.2,1.8,1,99
CASES,Lithuania,9.999996656511607e-06,0.15999610720062732,0.32999999999980834,0.14285714285714285,0.12,0.1999979187080214,0.10000000052506183,0.011363636363636364,0.12500000000064546,0.1,0.10008224887198244,1.4,0.004410825369280417,0.006175155516992584,0.03570130281169431,2039.4090984700665,0,1009.2,3.0,1.2,1.8,1,88
CASES,Malaysia,8.130391776679342e-06,0.159999999557018,0.01573168289786036,0.14285714285714285,0.12,2.588262937308628e-13,0.1000198725389007,0.007692307692307694,0.10430763925623997,0.1,0.14999939339995325,1.4,0.0022223563825038164,0.003111298935505343,0.0006866736938569984,263455.5885539329,0,4726.2,9.0,3.6,5.4,3,130
CASES,Mali,2.8133561163141475e-07,0.10006208656871528,0.007908979574672929,0.14285714285714285,0.12,0.01710452017442705,0.3795486229709096,0.014285714285714284,0.10000567622481553,0.1,0.1370727353832005,1.4,0.008398800754037422,0.011758321055652393,0.04179830297624082,25838.957016004748,0,810.6,6.0,2.4,3.6,2,70
CASES,Malta,3.3029187799515333e-06,0.15793305992594314,0.16786079558392691,0.14285714285714285,0.12,0.17346284608168971,0.10000002280810773,0.011235955056179777,0.12936194919920674,0.1,0.14943152424999956,1.4,0.002201119015139109,0.003081566621194753,0.033565901161933975,821.2752212261444,0,372.0,3.0,1.2,1.8,1,89
CASES,Maranhao,9.336094621960076e-06,0.14846218914832865,0.001001655400774626,0.14285714285714285,0.12,0.1797789927847369,0.11528937073507388,0.014492753623188406,0.1015200231364558,0.1,0.10005064458582894,1.4,0.0032756873522674693,0.004585962293174456,0.0011712369149031177,225226.08210671297,0,16787.399999999998,3.0,1.2,1.8,1,69
CASES,Mato_Grosso,6.076156941906945e-06,0.1596398946361036,0.001034799171255011,0.14285714285714285,0.12,0.12279304892691036,0.1028638391679838,0.013333333333333334,0.10000828371598956,0.1,0.10091203393113672,1.4,0.002676711775361717,0.003747396485506403,0.0003702837407858484,267034.6037209028,0,1625.4,3.0,1.2,1.8,1,75
CASES,Mato_Grosso_do_Sul,2.095736678367789e-06,0.1599981409664163,0.0013237304905639393,0.14285714285714285,0.12,0.02520708241586427,0.11232340122998656,0.012658227848101266,0.10032163414103208,0.1,0.10084163342664217,1.4,0.0012403644947926464,0.0017365102927097056,0.000463179055122831,551905.2118537012,0,987.6,6.0,2.4,3.6,2,79
CASES,Mauritania,5.6248530579134145e-06,0.1599999860056212,0.0010000000014080538,0.14285714285714285,0.12,1.1617143136355424e-09,0.10000098291942687,0.012345679012345678,0.10000245088797498,0.1,0.12233724757495967,1.4,0.00595361801385204,0.008335065219392855,4.224538089325769e-05,256717.41890425442,0,400.8,3.0,1.2,1.8,1,81
CASES,Mexico,4.958301091087387e-06,0.1599398144598272,0.001003966232710469,0.14285714285714285,0.12,0.10093720865861416,0.1000596371427647,0.011363636363636364,0.10000002613956706,0.1,0.10024865646793034,1.4,0.01230081047017932,0.017221134658251046,0.0012487475155555927,329808.37702377484,0,58395.6,6.0,2.4,3.6,2,88
CASES,Minas_Gerais,9.007270820715306e-06,0.14529094086773608,0.02430510126870524,0.14285714285714285,0.12,0.09998328930072993,0.10000009750936928,0.011494252873563218,0.1000000017415306,0.1,0.10019246430326537,1.4,0.002718837763722413,0.0038063728692113775,2.811195720653359e-12,380374.0340678791,0,6563.4,3.0,1.2,1.8,1,87
CASES,Moldova,2.823394302933596e-07,0.10000341319963582,0.049115381360109504,0.14285714285714285,0.12,0.07518376255301003,0.10000008036706784,0.011627906976744186,0.10000000016264476,0.1,0.1499480360131825,1.4,0.00558597828613603,0.00782036960059044,0.0003619823743070128,1084316.0784542896,0,5128.8,3.0,1.2,1.8,1,86
CASES,Morocco,9.999999995761861e-06,0.15999999094276127,0.03672452209830936,0.14285714285714285,0.12,0.09999588152295076,0.10000061379627533,0.011627906976744186,0.10000000291807827,0.1,0.10005192329233677,1.4,0.002690691409689474,0.003766967973565264,0.011532543156216324,36028.799061826205,0,4719.5999999999985,3.0,1.2,1.8,1,86
CASES,Netherlands,4.3997771963442745e-06,0.10000030575099207,0.01365988941816531,0.14285714285714285,0.12,0.003262826439474576,0.10000017920745713,0.010309278350515464,0.14999993474263418,0.1,0.10000023883419726,1.4,0.01466817662545858,0.02053544727564201,0.022087386189406918,675368.5587966964,0,27988.2,3.0,1.2,1.8,1,97
CASES,New_Zealand,9.66504567486702e-06,0.12058994065524795,0.2627752312749838,0.14285714285714285,0.12,0.1999993158245808,0.3013384185250671,0.011363636363636364,0.14999960024450235,0.1,0.10519817944730073,1.4,0.002044487586431639,0.0028622826210042947,0.0581695457575806,1433.3787788199502,0,692.4,3.0,1.2,1.8,1,88
CASES,Nicaragua,9.999999788931713e-06,0.15999369888541778,0.006240224707899025,0.14285714285714285,0.12,0.016684820060010843,0.10000254558120976,0.012987012987012988,0.1000302841780165,0.1,0.10000586018470202,1.4,0.004291296239268929,0.0060078147349765035,0.004517830452428207,41125.40516542131,0,670.8,3.0,1.2,1.8,1,77
CASES,Niger,3.64663033010082e-10,0.1181550884112222,0.08338079846171775,0.14285714285714285,0.12,0.025285552553276133,0.1700167021726048,0.013333333333333334,0.10012788103290192,0.1,0.10000006615069272,1.4,0.007262574636642488,0.01016760449129948,0.2511503961662579,3205.653877353125,0,576.0,3.0,1.2,1.8,1,75
CASES,Nigeria,6.3929807580601236e-06,0.15994551462233975,0.02384128052746464,0.14285714285714285,0.12,0.0032864658533522943,0.10000250811506173,0.011627906976744186,0.10351452110847699,0.1,0.10101587860606752,1.4,0.003019417980228959,0.00422718517232054,0.00030420888279752983,439390.2211558175,0,6491.4,3.0,1.2,1.8,1,86
CASES,North_Macedonia,9.999716549505336e-06,0.15815379747888872,0.32523134234247303,0.14285714285714285,0.12,0.1204289934468012,0.10007671074747873,0.011235955056179777,0.1481878595429108,0.1,0.10034253712494752,1.4,0.006288132326496711,0.008803385257095394,0.0037962736659279406,19568.04849064593,0,1434.6,3.0,1.2,1.8,1,89
CASES,Norway,9.999995494526268e-06,0.15995787313025886,0.11938473670895115,0.14285714285714285,0.12,0.01745336693555598,0.10000002786017816,0.010204081632653059,0.1000001109048249,0.1,0.10031149495159522,1.4,0.002896068254784757,0.004054495556698659,0.05939296158636265,40903.47529058959,0,5067.5999999999985,3.0,1.2,1.8,1,98
CASES,Oman,7.650945800762402e-06,0.1586315567030271,0.0010000001198452327,0.14285714285714285,0.12,0.09999956788595273,0.10030307155661418,0.010638297872340424,0.1000003736526589,0.1,0.10523584041407358,1.4,0.00048735593284382587,0.0006822983059813563,0.0007028534357185756,183596.2497965516,0,7679.4,6.0,2.4,3.6,2,94
CASES,Pakistan,1.1079689738936295e-06,0.155462497680471,0.005232439203753785,0.14285714285714285,0.12,0.0587362112780677,0.11363761370094465,0.010752688172043013,0.10149683366483853,0.1,0.14941194852363754,1.4,0.003201616872204382,0.004482263621086135,0.0011338235457902244,1237026.775818223,0,48277.8,6.0,2.4,3.6,2,93
CASES,Palestine,9.999917329555985e-06,0.1599999882368382,0.32999982241945514,0.14285714285714285,0.12,0.1999999973799733,0.3999623706705887,0.011494252873563218,0.10000301376218312,0.1,0.10002559968219436,1.4,0.0008002047974575547,0.0011202867164405766,0.0007166489155004951,19789.96996827863,0,378.0,21.0,8.4,12.6,7,87
CASES,Panama,3.779195927866575e-12,0.10012833239631366,0.00704681731625136,0.14285714285714285,0.12,0.11003959419449497,0.19750364518833294,0.011627906976744186,0.10000002706684047,0.1,0.10400268510007622,1.4,0.0019391987248550747,0.0027148782147971037,0.017512548826172314,124922.27399438301,0,8457.0,3.0,1.2,1.8,1,86
CASES,Para,9.8467539743482e-06,0.1599998942249189,0.0010000648640943492,0.14285714285714285,0.12,0.06883615037830289,0.10001140152712308,0.013157894736842105,0.10596825987581454,0.1,0.10000004316290427,1.4,0.00796499937682367,0.011150999127553136,0.0005885452116997093,206694.45950497253,0,24724.2,3.0,1.2,1.8,1,76
CASES,Paraguay,9.999999999736587e-06,0.15999999999994574,0.02925322875667521,0.14285714285714285,0.12,0.1178777755272479,0.30732779794624976,0.011904761904761904,0.1499999943389037,0.1,0.14966275706748006,1.4,0.0016430043191040724,0.002300206046745701,5.007643579524324e-06,367795.1405055549,0,607.8,3.0,1.2,1.8,1,84
CASES,Paraiba,9.9786646814136e-06,0.14619820531546102,0.008480210428451667,0.14285714285714285,0.12,0.05472978415299787,0.10012796873268112,0.013157894736842105,0.10100787686684548,0.1,0.11193848040437644,1.4,0.0029298814967720077,0.004101834095480811,0.00018131297192452997,236836.7063797984,0,8915.4,3.0,1.2,1.8,1,76
CASES,Parana,9.99968654725766e-06,0.1445195856664629,0.0010000000007090676,0.14285714285714285,0.12,0.1999902721822344,0.10030609103218376,0.012048192771084338,0.10000629119118247,0.1,0.10007525129109658,1.4,0.0040118805412828785,0.005616632757796032,0.0018861663525519547,134238.3194654508,0,3097.8,18.0,7.1999999999999975,10.8,6,83
CASES,Pernambuco,9.824701105291549e-06,0.15870104147236255,0.008976027384839555,0.14285714285714285,0.12,0.07774738857367737,0.10301828599638893,0.012048192771084338,0.11375841827576692,0.1,0.10079229267185197,1.4,0.009075174041643643,0.012705243658301104,0.0008799511527795012,214963.00586393574,0,21304.8,6.0,2.4,3.6,2,83
CASES,Peru,7.20563918232065e-07,0.1599999999920906,0.1655264488378037,0.14285714285714285,0.12,1.3774481555373086e-09,0.10000000672753304,0.011363636363636364,0.100000009378774,0.1,0.14999999993248636,1.4,0.004202412258922897,0.005883377162492057,2.686278879809878e-05,24564664.69958584,0,102023.4,3.0,1.2,1.8,1,88
CASES,Philippines,5.21414164468887e-06,0.15999971364394033,0.04794205134805616,0.14285714285714285,0.12,0.010727293465429609,0.10000000044442617,0.008196721311475409,0.10000292122778738,0.1,0.1499999798821643,1.4,0.00803615886895739,0.011250622416540346,5.551115123125783e-17,996486.6426585356,0,11398.2,3.0,1.2,1.8,1,122
CASES,Piaui,4.4724651692394165e-06,0.15999999649163915,0.03801581268341941,0.14285714285714285,0.12,3.402095272164729e-11,0.10000000014354808,0.013333333333333334,0.13711173139597746,0.1,0.14999992556992525,1.4,0.005069468006493906,0.007097255209091468,5.756506382681438e-14,945753.8532829456,0,3303.6,9.0,3.6,5.4,3,75
CASES,Poland,5.9845410255635235e-06,0.10030218203026244,0.06191971703257016,0.14285714285714285,0.12,0.10202542878721793,0.14398542315691146,0.011111111111111113,0.10000374777692517,0.1,0.100140082237675,1.4,0.004692656301915682,0.006569718822681953,0.001706008563850947,351570.1599365595,0,14637.0,3.0,1.2,1.8,1,90
CASES,Portugal,9.99977098704241e-06,0.15999832924386453,0.040146059028683206,0.14285714285714285,0.12,0.00805809761399232,0.1000008049703319,0.010752688172043013,0.1171506810443427,0.1,0.10012109900533003,1.4,0.004570199248916175,0.0063982789484826426,0.011258493314086848,341776.3011258909,0,19737.0,6.0,2.4,3.6,2,93
CASES,Puerto_Rico,5.48002846529749e-06,0.10000000013584476,0.002089224159389404,0.14285714285714285,0.12,0.1999999999993244,0.3999999988458208,0.014705882352941175,0.10000000086257534,0.1,0.10003895131884737,1.4,0.0036358639141429905,0.005090209479800187,0.001400433596496109,303814.52861746657,0,2361.0,192.0,76.8,115.2,64,68
CASES,Qatar,9.132595673835903e-06,0.15999769325334065,0.0010000524571303702,0.14285714285714285,0.12,0.18476291601674485,0.1457277627199656,0.01098901098901099,0.10000003205433154,0.1,0.10007970531095982,1.4,7.146650937244706e-05,0.00010005311312142588,0.0009714583662179812,199261.40942520613,0,36155.4,3.0,1.2,1.8,1,91
CASES,Rio_Grande_do_Norte,9.996758086312424e-06,0.15993239117517444,0.0010000000575410902,0.14285714285714285,0.12,0.09623668760569336,0.10011157249969088,0.012195121951219513,0.1000105206743593,0.1,0.10017410755446214,1.4,0.00432835411506229,0.006059695761087207,0.001239049088275046,146788.2882965087,0,4939.8,3.0,1.2,1.8,1,82
CASES,Rio_Grande_do_Sul,9.999657476762892e-06,0.15989217482767876,0.0010000002313431016,0.14285714285714285,0.12,0.03261554554703488,0.10001025329447108,0.011764705882352941,0.10000007648303952,0.1,0.14045790088461144,1.4,0.0035571827286261944,0.004980055820076672,0.0024681387156682,130723.63211386325,0,5951.4,3.0,1.2,1.8,1,85
CASES,Rio_de_Janeiro,5.411839127015063e-06,0.15999391689195006,0.0010003494713775208,0.14285714285714285,0.12,0.13338701962031232,0.10001117672849616,0.011111111111111113,0.10000076813840388,0.1,0.10001714644952407,1.4,0.01114088262962806,0.015597235681479284,0.0008067424081326102,306590.2320012852,0,34039.2,3.0,1.2,1.8,1,90
CASES,Romania,9.999992560552e-06,0.1599990969380689,0.0434373406413367,0.14285714285714285,0.12,0.09999442872247312,0.12534872245295786,0.010416666666666666,0.10795089949266133,0.1,0.10342284382844408,1.4,0.007252868585183681,0.010154016019257152,0.0012915529929078404,247107.10059711625,0,11710.2,3.0,1.2,1.8,1,96
CASES,Rondonia,9.999948554728416e-06,0.15999999720299193,0.003481599640288185,0.14285714285714285,0.12,0.04316728137545955,0.10000000023981173,0.013333333333333334,0.1000000284353115,0.1,0.10002022597553012,1.4,0.0032428800881793,0.004540032123451021,0.0015711178513475588,140874.27377077812,0,3286.2,3.0,1.2,1.8,1,75
